msd_name,msd_shrtnm,longitutde,latitude
(ACSSD) Ash Creek SSD,ACSSD32,-113.3190102,37.19146247
(AVWRF) Ashley Valley WRF,AVWRF29,-109.5239795,40.43959482
(BCSD) Brigham City SD,BCSD20,-112.0248354,41.50292145
(CCRWWTF) Cedar City WWTF,CCRWWTF31,-113.0956195,37.6836207
(CDSD) Central Davis SD,CDSD17,-111.9305849,40.99621549
(CVWRF) Central Valley WRF,CVWRF13,-111.920527,40.66256628
(CVWWTP) Coalville WWTP,CVWWTP28,-111.3934702,40.91979774
(CWSD) Central Weber WSD,CWSD19,-111.9969163,41.23380374
(HCWWTP) Hyrum City WWTP,HCWWTP21,-111.8445487,41.63252893
(JBSVPP) Jordan Basin SVPP,JBSVPP5,-111.9356275,40.53223557
(JBWRF) Jordan Basin WRF,JBWRF4,-111.9709924,40.48935379
(LCCWWTP) Logan City WWTP,LCCWWTP22,-111.8291693,41.75300043
(MAGWWTP) Magna WWTP,MAGWWTP1,-112.0832238,40.70571971
(MWRF) Moab WRF,MWRF24,-109.5098592,38.54116922
(NDSD) North Davis SD,NDSD18,-112.0192526,41.10596782
(OWRF) Orem WRF,OWRF7,-111.7083169,40.31029221
(PCWRF) Provo City WRF,PCWRF8,-111.6457205,40.24569662
(PRWID) Price WID,PRWID25,-110.813236,39.61794056
(PWWTP) Payson WWTP,PWWTP11,-111.7405997,40.03537716
(ROOSCSD) Roosevelt City SD,ROOSCSD30,-110.009319,40.29239498
(SBWRD_EC) Snyderville Basin East Canyon,SBWRDEC27,-111.5586783,40.71986302
(SBWRD_SC) Snyderville Basin Silver Creek,SBWRDSC26,-111.4656292,40.71084446
(SDSD_N) South Davis SD - North,SDSDN16,-111.8859568,40.88807396
(SDSD_S) South Davis SD - South,SDSDS15,-111.9087842,40.83866066
(SFWWTP) Spanish Fork WWTP,SFWWTP10,-111.6106251,40.11395836
(SGWWTP) St George WWTP,SGWWTP33,-113.5770535,37.07693932
(SLCWRF) Salt Lake City WRF,SLCWRF14,-111.9312436,40.77763247
(SQWRF) Santaquin WRF,SQWRF12,-111.7941195,39.97082251
(SVWRF) South Valley WRF,SVWRF3,-111.9507752,40.58533129
(SVWWTP) Springville WWTP,SVWWTP9,-111.6204876,40.16382705
(TOOELEWRF) Tooele WRF,TOOELEWRF2,-112.3082523,40.53938919
(TSSD) Timpanogos SSD,TSSD6,-111.8497104,40.39361735
(TWWTP) Tremonton WWTP,TWWTP23,-112.1841168,41.72197719
(HVSSD_H) Heber Valley SSD Heber City,HVSSDH34,-111.3828098,40.50042039
(JSSDWRF) Jordanelle SSD WRF,JSSDWRF36,-111.3786916,40.59988692
(HVSSD_M) Heber Valley SSD Midway,HVSSDM35,-111.4737753,40.51873922